OverallQual,GrLivArea,GarageCars,MSSubClass,YrSold,OverallCond,SalePrice
4,1296,2,90,2006,5,90000
6,1003,2,80,2006,6,142500
8,1911,2,60,2006,5,215000
6,1362,2,120,2007,5,194700
6,1664,2,60,2006,5,172400
6,1442,1,20,2007,6,157900
5,1383,1,20,2008,5,165000
6,1851,2,60,2007,8,187000
4,960,2,190,2006,5,129000
7,1714,2,60,2010,5,196500
6,1392,1,60,2010,7,161750
8,2794,3,60,2009,5,403000
6,1052,2,80,2010,7,155000
4,1126,2,20,2009,5,108000
8,1419,2,80,2009,5,184100
5,1768,1,50,2007,7,175000
4,1470,1,50,2008,6,135000
4,1229,1,20,2009,6,135000
5,1716,0,190,2008,6,135900
7,1829,2,60,2010,6,237000
6,1839,2,60,2010,5,155000
7,2080,1,70,2009,9,234000
7,2157,2,60,2006,6,226000
5,1154,2,20,2009,6,154000
7,1886,2,60,2006,5,199900
5,928,1,20,2007,7,132000
6,1844,2,20,2010,6,190000
5,1114,2,20,2008,5,159000
5,2274,2,90,2010,5,154300
5,1090,2,20,2007,5,157000
5,816,2,20,2008,8,138000
6,1199,2,120,2008,5,153900
6,1431,1,80,2008,5,165000
8,1788,2,20,2009,5,236500
9,1561,2,120,2007,5,277500
7,1802,1,70,2006,6,200100
5,833,1,20,2006,7,117000
6,1572,2,60,2007,5,168000
7,1240,3,20,2007,5,194000
5,924,1,20,2008,6,110000
5,864,2,20,2007,8,129000
8,1904,2,60,2006,5,275000
5,1252,2,50,2006,8,127000
5,1092,1,20,2006,5,141000
6,1392,2,20,2008,5,166000
5,988,2,20,2008,5,113000
6,1734,2,50,2006,7,159000
6,918,1,120,2010,5,99500
7,1555,2,120,2009,5,192500
6,1442,2,20,2009,6,185000
6,1118,1,80,2008,6,171000
5,1367,1,50,2008,8,119000
7,2060,2,60,2009,5,214000
7,1582,2,60,2008,5,185900
6,1953,2,60,2007,5,240000
6,1595,1,50,2006,5,140000
8,1717,3,20,2009,5,255500
7,1242,2,20,2007,6,175500
5,894,1,20,2009,5,109500
5,884,2,85,2007,7,144000
8,1414,2,60,2006,5,178000
8,1593,2,120,2008,5,286000
5,1214,1,20,2007,5,143000
3,1040,2,90,2006,4,93500
6,1567,2,20,2009,5,196000
5,698,0,20,2009,9,118000
7,1935,2,60,2007,7,197900
7,1775,2,60,2009,5,213000
5,1144,2,20,2008,6,139950
6,1165,2,80,2008,7,174900
7,1504,2,20,2009,5,203000
6,1603,2,60,2006,5,175900
7,1364,2,120,2006,5,185850
9,1698,3,20,2009,5,320000
4,1981,2,50,2009,3,135000
5,1287,2,20,2010,7,162000
5,1167,2,30,2007,5,144000
5,1920,2,50,2006,5,172500
6,2320,1,70,2007,8,259500
5,1200,1,50,2008,6,130500
7,2084,2,60,2010,5,233000
1,904,0,30,2009,1,61000
5,1355,0,190,2008,7,127500
8,1600,3,20,2009,5,256300
6,1689,2,20,2009,5,127500
5,1040,1,20,2010,8,127000
6,1212,2,80,2006,7,151000
5,990,2,20,2008,5,145000
7,1718,2,60,2009,5,185000
5,1297,2,20,2009,6,153000
6,1498,2,60,2006,5,187500
5,980,1,80,2006,5,135500
7,1797,2,60,2007,5,213500
6,1194,1,20,2010,6,148000
8,1324,2,120,2009,5,254000
8,3228,2,20,2007,5,430000
7,2069,2,20,2008,7,242000
7,2256,2,60,2009,5,236000
5,1144,1,20,2009,6,131400
7,1509,2,60,2006,5,180000
7,1432,2,60,2009,5,188500
7,1646,1,75,2007,5,164000
6,1310,1,50,2006,6,112000
5,912,1,20,2007,7,120000
7,1536,2,20,2008,5,214000
5,1664,0,90,2010,5,100000
7,1928,2,60,2007,5,219500
8,2365,3,60,2009,5,337000
6,2060,2,60,2007,5,211000
5,1600,1,20,2006,6,207500
8,2198,3,60,2008,5,250000
6,1732,2,60,2010,5,178000
5,1040,1,20,2008,5,129500
5,1056,1,20,2010,6,142000
6,1445,2,80,2009,6,158000
8,2290,2,60,2008,5,255900
6,1991,2,50,2007,7,220000
6,1082,1,20,2007,5,119200
7,2223,2,20,2007,6,244000
7,1434,2,20,2009,5,189000
5,1006,0,20,2008,3,80000
4,1768,0,90,2010,5,136500
6,1251,1,20,2006,6,160000
6,1062,2,80,2007,5,146800
5,971,1,20,2006,6,128500
7,3222,3,60,2010,5,320000
5,985,1,80,2008,8,149900
5,964,2,30,2009,7,163500
5,1086,2,20,2010,7,144900
5,1486,2,20,2009,7,167000
6,1686,2,20,2006,6,207500
4,1620,2,20,2009,4,150000
8,1665,2,60,2009,6,227000
6,2345,2,70,2006,8,239000
7,1717,2,50,2007,5,187500
8,1872,2,60,2009,5,261500
8,2524,2,20,2009,5,278000
9,1838,3,20,2009,5,315000
7,1208,2,20,2010,5,206000
5,1053,1,20,2008,7,145500
5,990,1,20,2007,5,126000
6,1136,1,20,2008,6,140000
5,1336,1,190,2006,5,157000
4,869,0,30,2006,7,85500
10,3627,3,60,2006,5,625000
7,2046,3,60,2008,5,284000
5,1150,1,20,2006,6,141000
5,1056,2,190,2006,5,145000
6,1600,2,60,2007,5,169000
6,1381,2,20,2010,7,197500
5,2414,2,190,2006,4,160000
6,816,0,90,2007,5,118500
6,2624,3,70,2007,6,239000
10,2296,3,60,2009,5,451950
5,1422,1,20,2007,5,139900
7,1541,3,20,2006,5,205000
4,1100,1,20,2008,5,141000
7,1720,2,20,2010,5,260400
7,1982,2,60,2007,6,228500
7,2291,2,60,2006,5,230000
6,1487,1,50,2010,4,113000
5,1868,2,60,2009,7,197500
6,1578,1,50,2006,7,133000
5,1363,1,20,2009,7,164900
5,970,2,20,2007,6,132500
5,1269,1,20,2008,6,155000
6,2134,2,75,2009,6,214500
6,2030,2,60,2007,6,195000
6,1674,2,50,2008,7,185000
7,1504,2,120,2008,5,191000
7,1872,2,20,2006,5,241500
6,1306,2,120,2009,5,196000
7,2260,2,60,2010,5,328000
6,1285,2,20,2007,5,143500
